,Price,Product video,A+ content,Coupon,Time listed,Customer rating,Variation,Seller type,Others
Unnamed: 0,0,1,2,3,4,5,6,7,8
Reviews,Price,Product video,A+ content,Coupon,Time listed,Customer rating,Variation,Seller type,Others
73.35%,3.52%,1.22%,--,--,--,--,3.05%,--,14.43%
85.49%,3.88%,--,--,--,--,--,--,--,9.36%
86.79%,4.08%,--,--,--,--,--,2.04%,--,5.18%
56.65%,2.71%,2.74%,--,--,--,--,--,--,18.61%
--,--,--,--,--,--,--,--,--,--
70.4%,3.47%,--,3.25%,--,--,--,--,2.01%,18.02%
86.47%,3.91%,--,--,--,--,--,--,--,7.96%
64.16%,3.12%,--,--,--,--,--,--,--,20.08%
84.6%,4.01%,--,--,--,--,--,--,--,9.9%
53.58%,2.72%,--,--,--,--,--,4.7%,--,16.22%
--,5.19%,52.53%,--,--,1.78%,--,2.85%,35.57%,--
84.4%,3.91%,--,--,--,--,--,2.11%,--,8%
85.33%,3.92%,--,--,--,--,--,--,--,7.63%
54.09%,2.72%,3.62%,--,--,--,--,1.01%,1%,19.75%
58.57%,3.43%,4.1%,--,--,--,9.56%,--,2.71%,8.25%
84.55%,3.91%,--,--,--,--,--,--,--,9.43%
78.82%,3.64%,--,--,--,--,--,1.26%,--,13.44%
64.91%,3.37%,--,--,--,--,1.37%,--,5.32%,11.44%
67.01%,3.37%,--,--,--,--,--,4.08%,--,18.75%
69.88%,4.26%,--,--,--,--,--,15.51%,--,5.1%
79.7%,3.87%,4.34%,--,--,--,--,1.2%,--,8.01%
12.05%,46.63%,--,--,--,3.48%,17.84%,13.83%,5.17%,1.21%
94.7%,4.26%,--,--,--,--,--,--,--,--
19.29%,6.36%,--,--,--,5.23%,13.12%,29.02%,--,25.2%
65.19%,4.26%,--,--,--,--,--,28.26%,--,1.29%
89.82%,4.18%,--,--,--,--,--,1.48%,--,3.32%
61.02%,3.19%,--,--,--,--,--,6.68%,--,17.83%
18.73%,7.65%,--,--,--,21.55%,6.12%,18.27%,4.19%,23.1%
83.59%,3.85%,--,--,--,--,--,--,--,10.53%
4.01%,4.25%,81.5%,--,--,2.77%,--,2.25%,3.78%,--
58.96%,3.22%,1.11%,--,--,--,--,9.05%,1.51%,16.6%
79.12%,4.23%,13.1%,--,--,--,--,1.51%,--,--
